Player Name,Team,Apts,Errors,Attempts,Avg Per Match,Success %,Total
Smith David,USA,42,10,26,3,53.85,78
Gholami Masoud,IRI,41,9,26,2.73,53.95,76
Sliwka Aleksander,POL,41,8,38,2.73,47.13,87
Holt Maxwell,USA,40,7,28,3.33,53.33,75
Maar Stephen Timothy,CAN,40,14,43,4,41.24,97
Stahl Mitchell,USA,39,7,25,3,54.93,71
Mendez Nicolas,ARG,38,17,37,2.53,41.3,92
Van Berkel Lucas,CAN,38,5,20,2.71,60.32,63
Petrov Georgi,BUL,37,17,41,2.47,38.95,95
Kartev Nikolay,BUL,37,10,20,2.85,55.22,67
Štern Žiga,SLO,37,9,30,2.18,48.68,76
Muzaj Maciej,POL,37,13,41,3.36,40.66,91
Bogdan Denis,RUS,36,12,35,2.4,43.37,83
De Souza Mauricio Luiz,BRA,36,6,22,2.77,56.25,64
Nishida Yuji,JPN,36,13,21,7.2,51.43,70
Fornal Tomasz,POL,35,6,19,2.92,58.33,60
Garrett Ethan,AUS,33,37,61,2.75,25.19,131
Fukuzawa Tatsuya,JPN,33,20,29,2.36,40.24,82
Ghafour Amir,IRI,33,13,12,6.6,56.9,58
Borges Almeida Silva Mauricio,BRA,33,18,29,1.94,41.25,80
Jansen Vandoorn Daniel,CAN,32,10,16,2.13,55.17,58
Nowakowski Piotr,POL,32,3,13,2.67,66.67,48
Muserskiy Dmitriy,RUS,32,5,22,4.57,54.24,59
Ivanov Svetoslav,BUL,31,9,36,2.82,40.79,76
Senica Max,AUS,30,16,42,2,34.09,88
Ri Haku,JPN,30,6,18,2,55.56,54
Faure Théo,FRA,29,10,20,5.8,49.15,59
Chavdarov Stefan,BUL,28,2,19,2.15,57.14,49
Šket Alen,SLO,27,4,35,1.69,40.91,66
Brizard Antoine,FRA,26,2,12,1.62,65,40
Vigrass Graham,CAN,26,1,14,3.25,63.41,41
Klos Karol,POL,26,5,8,2.36,66.67,39
Kujundžić Miran,SRB,26,8,28,1.86,41.94,62
Böhme Marcus,GER,25,4,13,1.92,59.52,42
Dosanjh Arshdeep,AUS,25,7,33,1.67,38.46,65
Takahashi Kentaro,JPN,25,4,14,2.5,58.14,43
Mojarad Aliasghar,IRI,25,5,14,2.27,56.82,44
Jendryk II Jeffrey,USA,23,2,18,1.77,53.49,43
Taylor Tim,AUS,22,15,23,1.47,36.67,60
Bednorz Bartosz,POL,21,15,25,2.33,34.43,61
Sharifi Morteza,IRI,21,8,21,1.91,42,50
Gasparini Mitja,SLO,19,8,19,1.19,41.3,46
Saatkamp Lucas,BRA,19,5,17,3.8,46.34,41
Weir James,AUS,18,11,15,1.2,40.91,44
van der Ent Luuc,NED,18,0,14,1.64,56.25,32
Sossenheimer David,GER,17,7,17,1.42,41.46,41
Averill Taylor,USA,17,3,7,2.43,62.96,27
Wiltenburg Twan,NED,16,5,13,1.14,47.06,34
Christenson Micah,USA,16,2,18,1.33,44.44,36
Palacios Ezequiel,ARG,16,8,16,1.45,40,40
Vitelli Marco,ITA,15,3,16,1.36,44.12,34
Sander Brenden,USA,14,10,17,1.27,34.15,41
Huber Norbert,POL,14,2,6,1.17,63.64,22
Palonsky Luciano,ARG,14,8,16,1.17,36.84,38
Ropret Gregor,SLO,12,1,6,0.71,63.16,19
van Zeist Maikel,NED,12,2,12,1,46.15,26
Seganov Georgi,BUL,11,3,4,0.73,61.11,18
Grozdanov Aleks,BUL,11,4,8,3.67,47.83,23
Baxpöhler Noah,GER,11,1,4,1.1,68.75,16
Simic Stevan,SRB,11,0,2,0.92,84.62,13
Blankenau Jay,CAN,11,1,14,0.79,42.31,26
Lyutskanov Gordan,BUL,11,7,16,1.22,32.35,34
Kobzar Igor,RUS,10,2,10,0.67,45.45,22
van Schie Stijn,NED,9,11,14,0.75,26.47,34
Semyshev Anton,RUS,9,6,11,1.12,34.62,26
Rezende Bruno Mossa,BRA,9,0,5,0.53,64.29,14
Lazo Nicolás,ARG,9,8,11,1.8,32.14,28
Gueye Mousse,FRA,8,2,4,0.5,57.14,14
Zimmermann Jan,GER,8,2,9,0.53,42.11,19
Abedini Reza,IRI,8,3,1,0.73,66.67,12
De Cecco Luciano,ARG,8,1,14,0.53,34.78,23
Marouflakrani Mir Saeid,IRI,8,0,12,0.62,40,20
Shoji Kawika,USA,7,0,1,0.54,87.5,8
Sbertoli Riccardo,ITA,7,3,8,0.47,38.89,18
Lyneel Julien,FRA,6,7,6,0.86,31.58,19
Aubrey Matthew,AUS,6,4,6,0.4,37.5,16
Kavalkievicz Gabriel,BRA,6,2,2,0.6,60,10
Crer Pablo,ARG,6,1,2,2,66.67,9
Jovovic Nikola,SRB,5,1,6,0.33,41.67,12
Pankov Pavel,RUS,5,0,1,0.33,83.33,6
